event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
LG-00542,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,high_consumption,warning,lgbm_quantile_band,2017-08-25 17:00:00,2017-08-25 19:00:00,2017-08-25 19:00:00,3,92.02,52.258,76.09,4.56,119.3,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
LG-00543,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-26 05:00:00,2017-08-26 22:00:00,2017-08-26 07:00:00,18,73.071,45.83,59.44,6.31,490.4,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
LG-00544,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-27 02:00:00,2017-08-27 08:00:00,2017-08-27 04:00:00,7,66.225,40.876,62.01,4.86,177.4,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M1-05-08
LG-00545,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,baseload_rise,warning,lgbm_cusum_night_residual,2017-08-29 00:00:00,2017-10-11 23:00:00,2017-09-15 04:00:00,1056,46.033,36.844,24.94,,,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00546,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-09-02 05:00:00,2017-09-02 07:00:00,2017-09-02 07:00:00,3,52.74,31.885,65.41,5.59,62.6,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00547,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,spike,warning,lgbm_quantile_band,2017-09-19 06:00:00,2017-09-19 06:00:00,2017-09-19 06:00:00,1,52.03,36.662,41.92,5.62,15.4,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00548,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-09-23 15:00:00,2017-09-23 17:00:00,2017-09-23 17:00:00,3,68.78,41.777,64.64,4.5,81.0,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00549,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-09-30 03:00:00,2017-09-30 07:00:00,2017-09-30 05:00:00,5,53.88,33.197,62.3,4.88,103.4,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00550,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-10-01 00:00:00,2017-10-01 06:00:00,2017-10-01 02:00:00,7,49.099,36.907,33.03,5.0,85.3,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00551,A_consumption,M1_power,Rat_office_Loyd,power_active_kw,off_hours_run,warning,lgbm_quantile_band,2017-10-01 12:00:00,2017-10-01 19:00:00,2017-10-01 14:00:00,8,55.839,38.458,45.19,4.25,139.0,month cross-fit (other 11 months of 2017),,1,false_positive,
